,kmeans_20,kmeans_30,dbscan_0.1,agglo_0.5,ORCA
2019-09,9.23362918239667,9.11929232439893,9.392207174486217,9.463948829674758,8.368558601209859
2019-10,9.25799281380092,9.137715655616033,9.411325474050615,9.466647833839916,8.419617283479457
2019-11,9.322362119881783,9.22045976454366,9.429071384313517,9.510939092577011,8.477865689195278
2019-12,9.423766397320668,9.290228146264056,9.504172122801295,9.5270127812042,8.504310456778791
2020-01,9.504503495086418,9.373984719471832,9.57174305275483,9.60729826902,8.593409834531412
2020-02,9.574474084153028,9.460992856363756,9.687833455526867,9.67281854494874,8.70664011491035
2020-03,9.813267387804805,9.682217273766708,9.973793516516677,9.860789461226036,8.951541656273456
2020-04,9.849400330045686,9.660609477055564,10.133968148833958,9.871871250095381,9.049452151525044
2020-05,9.943282017923547,9.729361055651358,10.15752562742207,9.945242163517822,9.095962312227769
2020-06,9.948533481917526,9.758149501300919,10.22761042878085,9.906897132437072,9.116772332595557
2020-07,9.91485125858211,9.712629431510276,10.14927968033633,9.89355543917447,9.003996686943157
2020-08,9.955386350661039,9.750965189330715,10.189607438650553,10.014561180519607,9.054112867904937
2020-09,10.00030854203346,9.769931166100202,10.233155805666032,10.047315174823298,9.075147797038916
2020-10,10.06632937387488,9.800602547255615,10.254452117810613,10.091679865630836,9.08375555198628
2020-11,10.107497698212917,9.812658247603567,10.37024046022835,10.180348988781208,9.177170003306955
2020-12,10.16254628728783,9.836288872976578,10.38764099319496,10.224843528486563,9.203487277416775
2021-01,10.182086591600957,9.822715301784402,10.428510395192449,10.240225217282859,9.171695795968008
2021-02,10.138718200085137,9.824426586177829,10.412140245025318,10.218295010871703,9.201953977820416
2021-03,10.138671743780815,9.822355335750382,10.504807939767232,10.217101560712747,9.244353309691846
2021-04,10.194624581066536,9.856521828954246,10.508273786180716,10.275510105545843,9.274699027936624
2021-05,10.167272964166134,9.893515212944406,10.46044027763645,10.277465621567845,9.27796710677742
2021-06,10.167287642624798,9.975858856067802,10.544797754767385,10.321200175450354,9.305187950238667
2021-07,10.220484251060645,10.059091418322092,10.584098228628113,10.380746736564413,9.349377077798284
2021-08,10.297046726727258,10.095586546767478,10.630466212855374,10.404099046801925,9.394532506630922
2021-09,10.325512095655691,10.136350247073977,10.63587778988319,10.416667453887285,9.45417629255541
2021-10,10.35800727779546,10.143615289841758,10.655105737763549,10.455423270782331,9.488023135149817
2021-11,10.458073761248352,10.220597348480716,10.730691092868552,10.535915174204746,9.553928044080521
2021-12,10.516846249635556,10.29964451371157,10.74946134402723,10.598919630022621,9.588852132554534
2022-01,10.678177946216929,10.453656071722085,10.857680916833656,10.749653716691776,9.732860929594073
2022-02,10.696139667009845,10.45329106375724,10.865196428949075,10.732295845566705,9.789237710471403
2022-03,10.690767355669822,10.474296747544438,10.88787437996646,10.75741114659142,9.825715604919399
2022-04,10.780404475941772,10.552823122001763,10.954938840951062,10.83895634078348,9.913823339267683
2022-05,10.846304424124973,10.61341005993679,11.0238162471525,10.909967767230075,10.035782137662272
2022-06,10.936462537091769,10.704465284019282,11.169705498310757,10.972266217908645,10.138854193607358
2022-07,10.945679935666975,10.715667104889686,11.179413453639652,11.014077349512574,10.15507609072166
2022-08,10.995435047823728,10.750050502101121,11.22389762419898,11.05486166039051,10.157907749947864
2022-09,11.113104838832182,10.851589401653474,11.345666306014397,11.159758995542616,10.25580225306519
2022-10,11.156961979787827,10.900609004001126,11.388748098294965,11.219100003842104,10.317361008816722
2022-11,11.263759143704478,10.977476084040626,11.45438393049898,11.281167675889296,10.376042145890226
2022-12,11.332748161957626,11.027939417982994,11.52445977335102,11.364109443235083,10.475898926649094
2023-01,11.351037651883743,11.058263322403239,11.646182173898234,11.401541164302822,10.470981519395739
2023-02,11.44516769507754,11.09320494642692,11.673712487480069,11.437337493736887,10.511284709799147
2023-03,11.554452546526583,11.20903942586529,11.777958455904107,11.560602751291334,10.688759242887125
2023-04,11.603634109545446,11.254543554050764,11.828621173750802,11.611161988977301,10.725689213721816
2023-05,11.61879051947459,11.281004301444074,11.851617922470078,11.637122243168672,10.719440834256652
2023-06,11.674806833637971,11.324783998183664,11.93040201165494,11.675047068652752,10.761199529708762
2023-07,11.669578310100475,11.361938246982056,11.983594427220593,11.718292501895194,10.783106745556998
2023-08,11.733975481013914,11.41013410973384,12.07621453732162,11.780910986987994,10.853897100054692
2023-09,11.793338297756081,11.510564473130062,12.176567294418751,11.875977714107439,10.908301691055255
2023-10,11.858477015267066,11.592072179580985,12.240905015225822,11.938552870581363,10.955901344990798
2023-11,12.018749885165272,11.714394252116048,12.309163583842134,12.047228830940252,11.062704917295788
2023-12,12.129381559679654,11.82186465017484,12.44314506804242,12.11578132236198,11.158388218588287
